ID,CATEGORY_A,CATEGORY_B,NUMERIC_1,NUMERIC_2,NUMERIC_3,LABEL
3031,alpha,low,39.69,79.55,411,1
3032,alpha,high,59.5,23.0,70,1
3033,beta,medium,67.91,46.16,124,1
3034,alpha,medium,53.24,75.03,201,0
3035,beta,high,32.74,0.44,145,0
3036,beta,medium,53.92,75.74,131,1
3037,alpha,low,48.44,75.59,304,0
3038,alpha,high,68.34,20.72,381,0
3039,beta,high,75.36,14.31,140,1
3040,alpha,medium,40.5,81.74,398,1
3041,alpha,high,45.35,76.61,237,1
3042,alpha,low,52.89,67.28,385,0
3043,alpha,high,19.01,89.32,366,1
3044,alpha,high,33.53,32.64,379,0
3045,beta,medium,56.65,73.22,467,1
3046,beta,medium,35.88,65.04,329,1
3047,beta,medium,58.59,2.89,171,0
3048,alpha,medium,61.68,33.03,370,1
3049,beta,high,38.26,71.89,202,1
3050,alpha,low,91.02,84.26,123,1
3051,beta,low,40.14,30.11,349,0
3052,beta,low,52.8,31.55,410,1
3053,alpha,low,33.85,36.97,424,0
3054,alpha,medium,33.18,66.59,349,0
3055,alpha,high,86.27,52.63,286,1
3056,alpha,low,64.75,89.48,453,1
3057,beta,high,56.0,4.55,368,0
3058,beta,medium,73.58,26.39,368,1
3059,beta,medium,61.12,1.85,299,0
3060,alpha,low,23.81,81.07,83,0
3061,alpha,medium,47.57,37.64,245,0
3062,alpha,low,39.92,43.87,494,0
3063,beta,high,46.26,91.24,59,0
3064,beta,high,54.7,69.42,63,1
3065,beta,medium,42.98,96.47,466,1
3066,alpha,medium,54.07,92.8,241,0
3067,beta,medium,32.29,42.83,6,0
3068,alpha,high,59.87,2.69,146,1
3069,alpha,high,34.74,40.87,68,1
3070,alpha,medium,52.63,58.51,39,1
3071,alpha,low,37.61,34.48,369,1
3072,beta,low,35.63,84.26,277,1
3073,alpha,medium,40.32,71.75,388,1
3074,beta,low,55.33,10.45,264,0
3075,beta,medium,54.1,73.58,219,1
3076,alpha,high,73.47,82.44,240,0
3077,alpha,medium,33.82,4.86,8,0
3078,alpha,medium,44.76,54.31,340,1
3079,beta,high,81.34,60.34,68,1
3080,beta,low,17.17,32.98,223,1
3081,beta,low,31.9,9.22,356,1
3082,beta,low,80.31,30.42,128,1
3083,beta,medium,38.99,5.28,273,1
3084,beta,low,69.8,35.92,2,0
3085,alpha,low,39.82,89.3,13,0
3086,alpha,high,46.05,81.05,166,0
3087,beta,high,39.59,62.8,399,0
3088,alpha,high,63.09,48.45,274,1
3089,alpha,high,13.02,77.96,244,0
3090,alpha,low,36.15,46.32,17,0
3091,alpha,medium,66.57,2.66,133,1
3092,beta,medium,54.2,57.0,442,1
3093,alpha,low,17.19,72.89,78,0
3094,beta,low,37.91,31.29,164,0
3095,alpha,low,82.07,5.3,229,1
3096,alpha,high,57.39,82.65,78,1
3097,beta,high,71.45,85.26,465,0
3098,alpha,medium,66.23,16.12,350,1
3099,beta,high,35.07,14.17,335,0
3100,alpha,medium,47.83,94.15,160,1
3101,alpha,high,68.46,14.09,129,0
3102,alpha,medium,68.25,66.82,494,1
3103,beta,low,54.91,82.33,406,0
3104,alpha,medium,35.93,50.92,35,0
3105,beta,medium,58.3,21.37,392,1
3106,beta,high,71.25,71.39,96,1
3107,beta,medium,68.9,23.38,110,0
3108,beta,low,48.25,28.06,130,0
3109,beta,high,48.91,89.49,394,1
3110,alpha,medium,61.41,57.51,116,1
3111,alpha,high,62.83,65.3,19,0
3112,alpha,low,37.17,3.23,384,0
3113,beta,medium,74.04,25.05,173,0
3114,beta,medium,41.12,96.99,259,0
3115,alpha,high,27.42,59.14,390,1
3116,alpha,medium,38.54,81.3,229,0
3117,alpha,high,40.76,71.36,175,1
3118,alpha,high,66.55,57.97,136,1
3119,beta,high,47.36,71.87,56,0
3120,alpha,high,40.8,85.65,420,1
3121,beta,medium,58.29,48.76,51,0
3122,beta,medium,60.19,77.61,401,1
3123,alpha,high,50.82,70.54,71,1
3124,alpha,high,33.01,79.77,385,1
3125,alpha,high,42.58,3.71,461,1
3126,beta,medium,44.54,84.88,206,1
3127,beta,low,45.56,53.88,336,1
3128,alpha,medium,39.7,19.07,88,1
3129,alpha,medium,48.59,33.0,219,1
3130,beta,high,53.25,37.62,409,0
3131,alpha,low,80.0,39.06,165,1
3132,beta,medium,37.83,94.64,244,0
3133,beta,medium,76.85,18.1,107,1
3134,alpha,medium,57.38,80.58,76,1
3135,beta,high,22.73,12.53,118,0
3136,beta,low,42.97,6.31,384,1
3137,beta,high,57.83,91.66,258,1
3138,beta,low,70.31,14.31,445,0
3139,beta,medium,53.08,40.26,359,0
3140,alpha,low,52.89,88.46,132,1
3141,alpha,medium,58.88,68.15,434,0
3142,alpha,low,59.88,21.07,247,0
3143,alpha,medium,55.53,42.46,226,1
3144,alpha,medium,60.58,5.52,105,1
3145,beta,medium,62.9,31.17,417,0
3146,beta,medium,57.31,47.02,246,0
3147,alpha,low,47.54,63.19,208,0
3148,beta,medium,40.43,5.37,324,0
3149,beta,medium,52.5,10.67,85,0
3150,alpha,high,44.4,70.59,345,1
3151,alpha,low,52.03,63.62,22,1
3152,beta,low,72.3,18.88,156,1
3153,alpha,low,76.1,43.81,100,0
3154,beta,medium,53.83,86.18,83,1
3155,beta,medium,49.88,47.25,382,0
3156,alpha,high,60.32,36.86,358,0
3157,alpha,low,45.14,24.14,20,1
3158,alpha,high,48.81,5.69,244,1
3159,alpha,medium,37.65,46.66,371,1
3160,beta,high,46.59,48.95,70,1
3161,alpha,high,59.23,27.54,478,1
3162,beta,medium,60.87,7.16,273,0
3163,alpha,high,48.28,71.7,43,0
3164,alpha,high,43.28,63.97,86,0
3165,beta,medium,63.53,42.31,121,0
3166,beta,low,52.08,81.83,428,0
3167,beta,high,17.23,73.37,395,0
3168,alpha,high,73.11,22.53,230,1
3169,alpha,medium,65.8,20.62,426,0
3170,beta,high,67.53,20.66,301,0
3171,beta,high,69.76,13.86,35,1
3172,alpha,low,24.81,61.93,98,1
3173,beta,medium,70.64,94.18,410,0
3174,alpha,medium,74.03,60.76,143,0
3175,alpha,high,62.31,82.7,205,1
3176,alpha,low,60.8,37.51,257,0
3177,alpha,medium,51.88,99.27,69,1
3178,alpha,low,32.32,11.85,390,1
3179,alpha,high,63.39,79.29,438,1
3180,beta,medium,41.11,59.59,139,1
3181,beta,medium,44.07,93.4,154,1
3182,alpha,low,63.53,70.92,98,1
3183,alpha,medium,46.77,77.08,331,1
3184,alpha,high,46.91,77.1,439,1
3185,beta,medium,55.19,13.15,41,0
3186,beta,low,49.3,84.67,119,1
3187,alpha,medium,48.11,34.04,340,1
3188,beta,high,48.23,24.15,367,0
3189,alpha,medium,50.97,4.42,282,1
3190,beta,high,68.56,62.31,266,1
3191,alpha,high,54.09,86.52,32,0
3192,beta,medium,55.21,5.04,366,1
3193,beta,high,64.87,14.73,257,1
3194,beta,high,51.91,55.58,320,1
3195,alpha,medium,60.45,95.66,194,0
3196,beta,medium,49.82,10.04,36,1
3197,alpha,medium,60.82,56.67,46,0
3198,alpha,medium,46.4,39.81,305,1
3199,alpha,medium,64.46,44.8,91,0
3200,beta,medium,58.01,41.99,383,0
3201,beta,high,53.29,78.11,282,1
3202,alpha,low,50.65,59.14,199,0
3203,beta,medium,52.19,61.2,406,1
3204,alpha,low,42.96,61.88,41,1
3205,alpha,medium,57.59,1.3,334,1
3206,alpha,high,48.23,33.32,21,1
3207,beta,high,31.28,89.7,62,1
3208,beta,medium,46.5,46.18,304,0
3209,alpha,low,43.35,54.93,479,0
3210,alpha,high,32.0,46.37,395,1
3211,alpha,high,47.62,58.66,320,0
3212,beta,medium,54.12,56.68,307,1
3213,alpha,high,46.61,12.61,146,0
3214,beta,medium,39.25,67.01,73,1
3215,beta,medium,58.97,98.3,313,1
3216,beta,medium,55.48,75.66,352,0
3217,alpha,low,80.79,60.22,108,1
3218,alpha,medium,62.99,34.78,299,1
3219,beta,high,42.03,3.41,158,1
3220,alpha,low,51.52,84.34,251,1
3221,alpha,medium,49.59,98.4,147,1
3222,beta,medium,29.33,9.02,380,0
3223,alpha,low,44.42,56.1,277,1
3224,beta,low,25.8,15.69,90,0
3225,beta,high,48.36,48.55,244,1
3226,beta,medium,51.31,95.26,142,1
3227,beta,medium,37.51,7.07,467,0
3228,beta,medium,48.7,15.59,244,1
3229,alpha,high,45.72,96.6,54,1
3230,beta,high,66.83,3.94,400,1
3231,alpha,low,63.35,59.25,27,0
3232,alpha,high,60.07,71.68,449,1
3233,alpha,medium,68.27,25.94,383,1
3234,beta,high,23.28,79.59,216,0
3235,alpha,low,56.62,56.88,89,1
3236,beta,medium,39.37,4.03,171,0
3237,beta,low,56.13,48.61,327,0
3238,beta,high,51.16,13.51,317,1
3239,alpha,high,25.21,53.8,410,0
3240,alpha,medium,65.89,27.23,109,0
3241,alpha,high,53.83,67.38,40,0
3242,alpha,low,49.63,77.09,107,1
3243,beta,low,39.19,52.04,186,0
3244,alpha,high,36.49,54.61,179,1
3245,beta,high,30.52,43.82,247,1
3246,alpha,medium,52.64,64.28,56,1
3247,beta,high,55.82,36.27,157,1
3248,alpha,medium,24.87,46.15,465,0
3249,beta,low,81.48,77.8,489,1
3250,beta,medium,21.25,95.22,14,0
3251,alpha,high,46.3,50.67,26,1
3252,beta,low,64.11,76.77,364,0
3253,beta,low,37.95,64.19,428,1
3254,beta,low,48.57,44.99,264,1
3255,alpha,low,42.16,81.6,276,1
3256,alpha,low,48.95,75.38,49,0
3257,beta,high,68.47,10.85,339,1
3258,alpha,low,29.35,41.67,365,0
3259,alpha,high,53.58,83.08,239,1
3260,alpha,medium,34.95,73.21,371,1
3261,alpha,high,25.0,43.5,122,0
3262,alpha,low,48.09,11.86,4,1
3263,beta,low,27.7,7.9,205,0
3264,alpha,medium,56.78,66.95,326,0
3265,alpha,high,49.45,21.61,285,1
3266,beta,low,66.52,6.25,314,0
3267,beta,high,59.23,77.28,491,0
3268,alpha,low,42.86,91.4,291,0
3269,alpha,medium,33.85,67.53,238,0
3270,alpha,high,68.88,40.74,377,1
3271,beta,medium,55.39,62.74,185,1
3272,beta,low,59.3,33.09,50,0
3273,beta,low,55.31,69.88,447,1
3274,alpha,low,57.55,92.1,35,1
3275,alpha,high,54.66,80.49,212,1
3276,alpha,low,57.74,53.27,240,0
3277,alpha,medium,72.53,72.52,262,1
3278,beta,low,25.56,86.07,73,1
3279,beta,high,43.51,18.85,240,1
3280,beta,high,62.64,66.66,93,1
3281,beta,high,29.12,44.89,215,1
3282,beta,low,37.46,73.26,82,0
3283,alpha,low,54.8,63.57,282,0
3284,beta,low,69.88,76.1,391,1
3285,alpha,low,55.89,95.31,161,1
3286,alpha,high,56.83,33.12,174,1
3287,beta,low,57.72,11.21,163,0
3288,alpha,medium,46.27,80.68,271,1
3289,beta,high,42.65,9.17,484,0
3290,alpha,medium,32.9,52.65,222,0
3291,beta,medium,32.05,88.25,149,0
3292,beta,high,46.69,0.94,228,1
3293,beta,medium,52.46,62.0,445,0
3294,beta,low,62.39,40.17,316,0
3295,beta,low,70.2,19.18,111,1
3296,beta,low,54.56,74.57,47,1
3297,alpha,low,30.69,42.63,429,1
3298,beta,high,60.64,36.07,491,0
3299,alpha,high,0.17,48.78,75,0
3300,alpha,high,32.96,11.34,224,1
3301,beta,medium,53.07,74.72,289,1
3302,beta,high,65.29,87.9,90,1
3303,alpha,high,31.13,56.13,258,0
3304,alpha,medium,58.85,94.74,31,1
3305,alpha,medium,64.54,95.44,68,1
3306,alpha,high,41.22,43.12,379,1
3307,beta,high,60.76,72.55,14,0
3308,beta,medium,59.52,68.6,140,0
3309,alpha,high,41.52,74.67,417,1
3310,alpha,medium,47.03,10.55,311,0
3311,beta,high,60.86,87.01,117,0
3312,alpha,high,50.41,96.1,81,1
3313,beta,low,70.38,17.85,344,1
3314,alpha,high,59.51,13.43,402,1
3315,alpha,low,65.37,98.21,98,0
3316,beta,low,38.2,40.54,349,1
3317,alpha,low,51.46,17.67,207,0
3318,beta,medium,33.98,33.39,288,0
3319,beta,medium,48.09,99.9,388,0
3320,beta,high,31.34,81.3,372,1
3321,beta,high,46.04,33.65,28,1
3322,alpha,medium,57.84,49.64,69,0
3323,beta,low,47.56,11.43,161,1
3324,alpha,low,14.79,98.04,142,0
3325,alpha,medium,68.54,81.24,69,1
3326,beta,low,15.29,95.18,454,1
3327,beta,high,48.55,6.35,26,1
3328,alpha,high,46.38,10.44,330,1
3329,alpha,low,47.65,69.71,50,0
3330,alpha,high,43.12,80.65,45,0
3331,alpha,medium,69.96,85.79,435,1
3332,beta,high,38.51,20.87,28,0
3333,beta,low,42.62,97.37,28,0
3334,alpha,medium,38.49,55.06,371,1
3335,alpha,high,61.0,93.69,14,1
3336,beta,low,38.41,67.51,222,1
3337,beta,high,61.62,15.71,205,1
3338,beta,low,46.79,98.14,154,0
3339,beta,medium,70.76,39.16,43,1
3340,alpha,low,59.49,60.08,190,1
3341,alpha,low,34.26,75.06,300,1
3342,alpha,low,55.93,51.22,435,0
3343,alpha,low,34.27,52.54,43,0
3344,alpha,low,20.95,47.02,461,0
3345,beta,high,58.31,67.92,26,0
3346,beta,medium,51.62,24.36,290,0
3347,alpha,low,49.66,84.77,93,0
3348,beta,low,77.83,66.24,252,0
3349,beta,high,37.92,90.71,253,1
3350,beta,low,64.01,14.28,244,1
3351,beta,low,45.28,22.17,110,1
3352,beta,high,69.93,93.34,52,1
3353,beta,low,48.7,47.56,32,1
3354,alpha,medium,48.45,64.28,113,1
3355,beta,high,62.58,25.94,449,1
3356,alpha,medium,18.01,93.23,182,1
3357,beta,high,41.08,32.96,377,1
3358,beta,medium,62.45,49.78,125,1
3359,alpha,low,61.11,18.88,392,1
3360,alpha,medium,30.95,51.75,198,0
3361,alpha,medium,67.49,16.89,271,1
3362,beta,medium,37.1,97.6,217,1
3363,beta,medium,44.14,9.0,249,1
3364,beta,high,54.46,3.81,23,0
3365,alpha,medium,45.99,14.92,242,0
3366,beta,medium,52.3,77.8,41,1
3367,beta,medium,41.58,34.24,423,1
3368,beta,medium,30.75,6.17,438,0
3369,beta,medium,65.81,31.73,244,1
3370,beta,low,55.87,0.25,345,0
3371,beta,low,72.4,22.9,24,1
3372,beta,low,33.12,39.7,217,0
3373,alpha,low,58.0,54.91,363,1
3374,beta,high,19.47,92.39,479,1
3375,alpha,medium,70.51,2.76,350,0
3376,alpha,low,57.77,67.07,249,1
3377,alpha,low,41.42,54.38,185,0
3378,beta,low,24.95,6.43,425,0
3379,beta,medium,64.85,10.17,209,0
3380,alpha,medium,56.69,96.46,398,1
3381,beta,low,53.47,0.92,147,0
3382,alpha,medium,50.02,66.52,118,1
3383,alpha,high,37.2,80.23,135,1
3384,beta,medium,37.61,63.13,237,1
3385,beta,high,47.1,69.48,310,1
3386,alpha,high,28.63,53.97,106,0
3387,alpha,low,58.61,71.08,341,1
3388,alpha,high,66.71,15.18,202,1
3389,beta,medium,38.51,31.99,3,0
3390,beta,low,36.97,32.79,310,1
3391,beta,medium,66.31,35.14,307,0
3392,beta,medium,42.2,50.57,285,1
3393,alpha,medium,44.14,13.01,159,1
3394,alpha,high,47.15,77.32,391,1
3395,beta,medium,56.27,60.68,14,1
3396,alpha,medium,67.85,55.2,277,1
3397,beta,medium,55.96,47.51,41,0
3398,alpha,medium,43.68,52.19,397,0
3399,alpha,high,59.26,0.94,412,1
3400,beta,medium,34.32,20.51,123,0
3401,alpha,medium,33.33,68.23,257,0
3402,alpha,medium,69.31,72.06,77,0
3403,beta,high,45.43,75.49,364,0
3404,alpha,high,46.57,35.92,385,1
3405,beta,low,72.96,43.38,453,1
3406,alpha,high,38.09,48.65,283,0
3407,beta,high,62.86,98.07,124,1
3408,beta,medium,37.97,84.69,182,0
3409,beta,medium,54.46,43.37,394,0
3410,alpha,high,76.08,13.46,459,1
3411,alpha,high,29.85,92.29,16,0
3412,alpha,low,63.35,61.49,186,1
3413,alpha,low,42.06,6.32,305,0
3414,alpha,medium,48.88,40.51,44,0
3415,beta,high,67.38,16.98,80,0
3416,beta,low,44.77,99.42,473,1
3417,alpha,medium,73.04,3.31,388,1
3418,beta,low,79.1,45.29,425,1
3419,alpha,low,53.21,86.51,185,1
3420,beta,high,51.14,98.67,394,0
3421,beta,medium,60.84,82.44,32,0
3422,beta,high,47.07,90.43,128,1
3423,beta,low,63.72,55.78,123,1
3424,beta,low,47.64,27.05,402,0
3425,alpha,medium,80.99,19.51,248,0
3426,alpha,low,64.03,53.33,10,1
3427,alpha,high,36.7,19.94,119,0
3428,beta,low,59.48,19.08,311,0
3429,alpha,medium,63.28,92.81,175,0
3430,alpha,medium,55.76,90.6,360,1
3431,beta,high,65.89,99.86,478,1
3432,alpha,low,61.72,98.04,491,1
3433,alpha,low,40.97,30.89,37,1
3434,alpha,low,29.75,14.22,411,0
3435,beta,high,45.75,96.07,385,1
3436,alpha,medium,77.55,4.18,233,1
3437,beta,low,31.36,88.97,260,0
3438,alpha,high,43.06,38.81,13,1
3439,beta,medium,50.63,27.82,323,0
3440,beta,high,31.7,91.41,365,1
3441,beta,low,54.42,20.09,301,0
3442,alpha,low,14.5,62.09,339,1
3443,alpha,low,56.35,80.55,213,0
3444,alpha,low,62.38,83.03,97,1
3445,beta,high,49.75,74.96,116,1
3446,alpha,high,43.85,84.35,346,0
3447,alpha,low,45.03,7.47,103,0
3448,alpha,medium,62.72,23.2,267,0
3449,beta,medium,24.99,27.46,440,0
3450,alpha,medium,41.31,37.49,240,0
3451,alpha,medium,45.83,49.13,411,0
3452,alpha,medium,87.47,83.71,476,0
3453,alpha,low,64.17,92.4,151,1
3454,alpha,high,23.5,15.68,81,1
3455,alpha,high,48.38,78.93,187,1
3456,alpha,medium,53.81,51.09,197,1
3457,beta,low,42.49,89.51,255,0
3458,beta,high,41.17,46.43,228,1
3459,alpha,low,63.24,89.74,29,1
3460,beta,low,35.96,61.53,381,1
3461,alpha,low,56.85,89.17,170,1
3462,beta,high,40.75,74.63,314,0
3463,beta,medium,40.9,76.43,163,1
3464,alpha,high,49.32,53.14,230,0
3465,alpha,high,20.69,62.1,143,1
3466,beta,low,54.29,90.56,9,1
3467,alpha,medium,35.63,60.84,28,0
3468,alpha,low,33.17,10.94,435,1
3469,beta,high,54.67,82.9,101,1
3470,alpha,low,30.79,25.98,47,1
3471,beta,high,69.25,52.22,379,1
3472,beta,medium,52.19,23.1,331,1
3473,beta,low,42.02,14.85,307,1
3474,beta,high,76.55,93.29,234,1
3475,alpha,high,51.92,65.25,365,1
3476,alpha,high,45.9,30.87,388,0
3477,alpha,high,57.17,70.3,438,1
3478,alpha,low,37.19,13.14,284,1
3479,beta,high,45.49,98.96,217,0
3480,alpha,high,53.79,48.32,369,1
3481,beta,low,57.7,43.02,98,0
3482,alpha,medium,46.73,32.83,198,1
3483,alpha,high,47.59,67.87,296,1
3484,beta,low,53.98,18.99,275,1
3485,beta,high,58.09,50.48,224,1
3486,alpha,low,66.34,0.73,187,1
3487,alpha,high,41.82,54.39,74,0
3488,alpha,high,42.34,23.71,471,1
3489,alpha,medium,26.38,67.44,409,1
3490,alpha,medium,72.76,10.41,279,1
3491,beta,low,50.8,60.09,28,0
3492,alpha,medium,68.67,78.16,96,1
3493,alpha,high,41.23,84.56,295,0
3494,beta,high,50.92,83.4,234,1
3495,beta,high,55.67,12.33,164,0
3496,alpha,medium,51.82,98.11,224,0
3497,alpha,high,62.38,86.13,139,1
3498,beta,high,68.85,44.38,345,1
3499,beta,medium,39.2,55.94,84,0
3500,alpha,low,57.77,98.65,216,1
3501,beta,low,50.35,51.73,314,1
3502,alpha,low,44.65,30.05,320,1
3503,beta,low,63.33,93.38,408,0
3504,beta,low,41.72,43.61,299,1
3505,beta,low,53.54,43.46,166,0
3506,beta,high,44.83,71.4,157,0
3507,beta,medium,41.11,62.54,58,0
3508,alpha,high,40.61,39.72,7,1
3509,beta,low,46.72,10.72,258,0
3510,beta,medium,36.03,58.85,213,0
3511,alpha,medium,62.59,58.27,467,1
3512,alpha,medium,54.91,52.53,259,1
3513,alpha,medium,27.61,71.55,325,0
3514,beta,high,59.61,50.25,285,1
3515,alpha,medium,39.14,42.17,270,1
3516,alpha,medium,59.38,82.39,243,1
3517,alpha,low,52.86,95.36,229,1
3518,alpha,high,43.68,46.05,187,1
3519,beta,medium,68.3,94.09,211,1
3520,beta,medium,50.59,29.52,300,0
3521,alpha,low,47.78,33.61,338,1
3522,beta,low,45.38,52.15,82,1
3523,beta,low,44.31,15.21,19,0
3524,beta,low,48.89,9.67,81,0
3525,alpha,medium,65.46,46.66,335,0
3526,alpha,high,94.27,58.17,59,1
3527,beta,high,56.03,46.26,129,1
3528,beta,low,47.05,6.19,27,0
3529,alpha,medium,50.76,28.98,234,1
3530,beta,high,44.16,22.41,434,0
3531,alpha,high,51.14,66.66,91,1
3532,alpha,medium,39.56,78.26,84,1
3533,beta,low,73.5,1.12,27,1
3534,alpha,medium,44.25,51.22,20,1
3535,beta,medium,30.14,85.53,247,1
3536,alpha,low,26.92,35.59,276,0
3537,beta,low,81.53,54.23,207,0
3538,alpha,medium,77.85,88.59,94,0
3539,beta,low,57.26,15.79,71,1
3540,beta,low,42.37,32.24,389,1
3541,alpha,low,44.85,25.97,285,1
3542,beta,medium,44.24,13.36,38,1
3543,alpha,high,57.99,95.89,408,1
3544,beta,high,44.04,52.55,114,1
3545,beta,medium,47.6,6.37,406,1
3546,beta,low,48.15,95.4,486,0
3547,alpha,low,52.82,17.05,425,1
3548,alpha,low,34.69,43.18,240,1
3549,alpha,medium,45.06,98.49,389,0
3550,alpha,medium,62.56,64.42,280,0
3551,beta,medium,47.58,85.63,339,1
3552,alpha,high,49.77,56.34,359,1
3553,beta,medium,41.27,75.96,411,0
3554,beta,low,56.41,29.45,141,0
3555,beta,high,65.35,23.21,164,1
3556,beta,medium,56.52,0.92,167,1
3557,alpha,medium,57.85,78.54,81,1
3558,alpha,medium,43.43,82.23,283,1
3559,beta,medium,27.93,84.08,245,0
3560,alpha,high,41.52,68.98,302,0
3561,alpha,low,71.59,13.17,67,0
3562,beta,low,40.5,11.88,87,1
3563,beta,medium,53.7,85.99,243,1
3564,alpha,low,62.75,88.22,230,1
3565,alpha,medium,51.75,66.62,114,1
3566,alpha,low,47.22,76.91,119,1
3567,beta,high,43.13,5.9,165,1
3568,alpha,medium,49.21,82.42,292,1
3569,alpha,high,24.58,51.55,87,1
3570,beta,medium,38.22,76.1,334,1
3571,beta,high,46.64,30.54,221,1
3572,beta,high,40.78,32.86,495,0
3573,alpha,high,37.87,58.22,426,0
3574,beta,medium,50.03,1.71,423,1
3575,beta,high,80.75,59.1,471,1
3576,beta,medium,50.83,61.3,236,1
3577,beta,high,36.29,80.7,115,1
3578,alpha,medium,59.75,25.95,180,1
3579,beta,low,52.17,29.65,32,0
3580,alpha,low,21.7,67.54,384,0
3581,alpha,medium,58.23,21.28,94,0
3582,beta,high,44.28,12.3,325,1
3583,alpha,high,34.06,32.91,122,0
3584,beta,low,39.39,83.91,377,0
3585,alpha,high,33.76,90.87,221,0
3586,beta,low,43.72,54.13,241,0
3587,beta,medium,71.63,48.61,176,1
3588,beta,high,27.96,45.38,231,1
3589,alpha,low,51.46,38.44,465,1
3590,alpha,low,73.66,72.43,289,0
3591,beta,high,47.43,6.23,27,1
3592,alpha,low,34.7,16.65,400,1
3593,beta,medium,35.87,4.83,297,0
3594,beta,low,32.99,27.46,158,0
3595,beta,high,62.72,46.91,97,1
3596,beta,low,44.43,48.77,405,0
3597,alpha,medium,43.69,34.1,350,0
3598,beta,low,26.95,47.4,43,1
3599,alpha,low,66.09,74.89,499,0
3600,alpha,high,45.2,40.74,154,1
3601,alpha,low,57.29,38.88,207,1
3602,alpha,low,57.56,87.85,427,1
3603,beta,low,65.79,53.64,374,1
3604,beta,medium,65.56,77.81,65,0
3605,alpha,low,67.07,83.72,457,1
3606,alpha,medium,57.32,15.98,54,1
3607,beta,low,53.74,29.23,314,1
3608,beta,high,46.66,57.21,43,1
3609,beta,low,59.67,6.58,202,0
3610,beta,low,43.25,66.01,387,1
3611,alpha,high,37.57,25.71,410,1
3612,beta,medium,52.4,17.31,289,0
3613,beta,low,60.04,39.0,55,1
3614,alpha,medium,66.09,47.27,325,1
3615,beta,medium,52.39,48.36,170,0
3616,beta,low,69.57,71.19,248,0
3617,beta,medium,49.26,64.25,372,0
3618,beta,low,44.4,45.25,21,1
3619,beta,medium,21.91,97.21,158,0
3620,alpha,high,39.36,33.31,437,0
3621,alpha,high,61.07,22.93,132,1
3622,beta,low,63.85,94.95,234,1
3623,beta,medium,55.52,39.19,374,1
3624,alpha,medium,77.1,75.14,278,1
3625,beta,medium,68.88,89.02,137,0
3626,beta,low,46.29,3.29,373,0
3627,beta,low,40.05,43.27,488,0
3628,beta,high,18.29,60.6,38,1
3629,alpha,low,63.64,49.74,37,1
3630,alpha,medium,16.28,51.89,15,0
3631,beta,high,67.7,73.99,5,0
3632,alpha,high,71.37,16.39,483,1
3633,alpha,low,66.32,60.57,416,1
3634,beta,medium,61.41,14.73,317,0
3635,alpha,medium,41.23,11.67,170,0
3636,alpha,low,27.13,40.51,178,0
3637,beta,high,70.5,13.16,282,1
3638,alpha,high,52.2,62.56,362,1
3639,alpha,high,49.47,72.28,28,1
3640,alpha,medium,58.27,31.35,413,0
3641,alpha,high,56.85,64.44,274,1
3642,alpha,low,45.74,46.24,3,0
3643,beta,low,52.59,88.25,217,1
3644,alpha,medium,42.11,53.25,15,1
3645,beta,medium,38.63,82.07,38,0
3646,alpha,low,41.22,37.88,481,1
3647,alpha,high,62.61,9.93,220,0
3648,beta,high,67.19,13.97,406,1
3649,beta,high,48.44,92.42,224,1
3650,beta,high,31.79,97.26,240,0
3651,beta,high,56.74,87.16,386,0
3652,beta,medium,50.23,13.04,299,0
3653,alpha,high,52.71,40.39,155,1
3654,alpha,high,101.13,11.08,172,1
3655,beta,medium,73.14,26.65,141,1
3656,alpha,medium,48.71,79.9,37,1
3657,beta,medium,57.47,62.78,404,0
3658,alpha,low,59.15,67.37,443,1
3659,beta,low,53.75,43.99,420,1
3660,beta,low,79.04,60.42,36,0
3661,alpha,high,74.95,84.67,127,0
3662,beta,medium,48.49,5.16,83,0
3663,alpha,low,51.16,44.51,163,0
3664,beta,high,45.97,1.96,369,0
3665,alpha,low,44.03,24.51,87,1
3666,alpha,high,44.79,93.73,190,1
3667,beta,medium,64.64,94.23,279,1
3668,beta,medium,32.3,54.4,166,0
3669,beta,high,70.28,16.94,95,1
3670,beta,high,44.86,10.23,375,0
3671,alpha,low,43.43,81.86,263,0
3672,beta,high,54.95,23.82,81,0
3673,beta,medium,39.83,31.14,472,1
